channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,vbNDNkvzzuk,UC640y4UvDAlya_WOj5U4pfA,Lec-2 Artificial Neuron Model and Linear Regression,130817,497,20,79,3508,0.10674
nptelhrd,xbYgKoG4x2g,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction to Artificial Neural Networks,445191,1488,52,153,3230,0.30026
nptelhrd,Zxs-f4HsTDk,UC640y4UvDAlya_WOj5U4pfA,"Lec-5 Learning Mechanisms-Hebbian,Competitive,Boltzmann",74221,267,13,33,3436,0.11568
nptelhrd,KshIEHQn5ZM,UC640y4UvDAlya_WOj5U4pfA,Lec-3 Gradient Descent Algorithm,117711,366,30,53,3395,-0.1525
nptelhrd,RnZnIIksdwU,UC640y4UvDAlya_WOj5U4pfA,Lec-14 Transportation Problem-Optimal Solutions,378857,1437,56,199,4208,0.34612
nptelhrd,pcSvhMpoSDs,UC640y4UvDAlya_WOj5U4pfA,Lec-34 Method of Plastic Analysis,115626,500,30,23,3596,0.11944
nptelhrd,ug7O1lSZyg0,UC640y4UvDAlya_WOj5U4pfA,Lec-17 Other Issues - Introduction to Dynamic Programming,148658,438,23,54,3710,0.4681
nptelhrd,_-Mlp3w1Brc,UC640y4UvDAlya_WOj5U4pfA,Lec-12 Sensitivity Analysis Transportation Problem (Intro...),118221,284,10,29,3706,0.0446
nptelhrd,Q31jKiEXxdc,UC640y4UvDAlya_WOj5U4pfA,Lec-13 Transportation Problems,514306,2107,81,275,3649,0.3222
nptelhrd,wxpMKReH8lc,UC640y4UvDAlya_WOj5U4pfA,Lec-11 Simplex Algorithm in Matrix Form - Sensitivity Analysis,106162,269,22,36,3697,0.4188
nptelhrd,a2QgdDk4Xjw,UC640y4UvDAlya_WOj5U4pfA,Lec-1 Introduction to Linear Programming Formulations,932486,2977,125,270,3108,0.55464
